"","name","n_nbinom","q_nbinom","pvalue_nbinom","n_binomlog","q_binomlog","p_binomlog","pvalue_binomlog","p1_doublenbinom","size1_doublenbinom","p2_doublenbinom","size2_doublenbinom","pvalue_doublenbinom","freq","class"
"result.62","just",1.68303371571655,0.174536486228181,0.0377398861195566,3,0.902335468657173,0.691564168617654,0.0199443934873935,0.654951014212988,4.94401513678892,0.102742402927598,0.611547938909026,0.0230951740908674,812,"nothing"
"result.63","me",0.985137385043552,0.11013352472573,0.544800742191254,230,0.900428307832425,0.00913745340766477,0.480592243132874,0.902181494203436,1.34604795646093,0.105922541385641,0.925931377629848,0.530823911560687,812,"all"
"result.64","how",2.56825413745257,0.244405098640426,0.17206572990345,4,0.869823100648407,0.639144632746343,0.0531058842568841,0.303796701241674,3.19831780402574,0.0183008909451369,0.0112450438980322,0.176779307245748,810,"all"
"result.65","did",2.29868676806248,0.224733831138875,0.0773062874677417,3,0.910239098721513,0.74350463804579,0.000305677917302627,0.308527403884444,2.89942228512655,0.0198520552788807,0.0278766336683128,0.219685219158469,809,"nbinom+doublenbinom"
"result.66","know",1.76714595957955,0.185198896627229,0.825105628933548,11,0.840069288446753,0.245808910058741,0.838722683214635,0.607663214691904,0.953533540371785,0.168374244043315,1.44997660771955,0.836372272324061,793,"all"
"result.67","much",2.82640746326929,0.267097926255429,0.043602466393863,9,0.813115840598077,0.341975161234349,0.00877373671409387,0.0416340639777708,0.0257133769911929,0.257116405307839,2.49104775220146,0.0114693650554649,791,"nothing"
"result.68","after",2.9803712817971,0.278362739921395,0.164890234949796,4,0.83911814577874,0.685351992964412,0.0737162156751031,0.100863453513543,0.156021832193368,0.348842365782004,3.39452158808947,0.144381273322087,788,"all"
"result.69","an",3.46698962740941,0.31360395884272,0.0119370631589611,601,0.654213387469806,0.00701161054167576,0.00687124976250197,0.999999945849296,1.78480725937189e-05,0.269815702575747,2.80812475425304,0.0121217485414977,774,"nothing"
"result.70","before",3.12383043435426,0.295138495136255,0.00779801075639175,761,0.73363006850276,0.00478794523288351,0.00687253504676177,0.392953140394461,3.09632157332225,0.214485943671665,0.70904977893702,0.00915843723102761,761,"nothing"
"result.71","out",2.32598012253013,0.243009660313148,0.962558179154279,6,0.822798367104171,0.450605462966178,0.971927975421065,0.283630177838246,2.25868848427109,0.117499451445823,0.206556849441419,0.961273909135685,739,"all"
"result.72","way",3.72590418009912,0.34206203584888,0.0391658099841413,535,0.661880902971899,0.00742130333721987,0.0386977921133709,1.10290437376155e-05,5.83970014252531e-10,0.248944872484583,2.44095919910712,0.0241162210711776,731,"nothing"
"result.73","roberta",0.463392431111097,0.0612707740986531,0.00012864971210591,622,0.88381645121319,0.00254027999376631,3.02289349329854e-07,0.999999942768093,1.8534917254985,0.0612720629114991,0.463173590421289,0.000128512077158582,724,"nothing"
"result.74","only",3.82720059058943,0.365394991233484,0.191669253242017,410,0.616562516927432,0.00960246370947708,0.176025147542667,0.365432365739997,1.92143310503218,0.365194286089389,1.90490297098064,0.191769666780158,678,"all"
"result.75","like",2.70317286025927,0.292730995979173,0.19335865631039,295,0.687908257487667,0.0115622822673087,0.180106765201208,0.292902624447136,0.611835873181205,0.292491606934089,2.08802791628354,0.192922522330307,666,"all"
"result.76","think",1.99770016682245,0.237888742119179,0.214915958457064,3,0.870828040810415,0.668875668768596,0.0627351563166418,0.307999612892886,2.58844520792111,0.023600837696313,0.0147333348450089,0.144190630753221,653,"all"
